seasonId,abbrev,TeamName,TeamId,location,nickname,primaryOwner,playoffSeed
2016,DULL,got a brock in my rari,1,got a brock,in my rari,{60AB0C80-50A7-417C-90B2-F35F7362B50F},13
2016,DRYS,The Blair Walsh Project,2,The Blair Walsh,Project,{4F16BDD1-42ED-4BEA-B15D-F6BE35E177F4},10
2016,NIKE,Asiatarget On Ya Back Homeboy,3,Asiatarget On,Ya Back Homeboy,{660BE104-98D0-4136-8BBA-7B33EE0ACEA2},8
2016,ROSE,Fantasy Aint My Forte,4,Fantasy Aint,My Forte,{6B529D97-DCD1-462F-9A17-510227F54E96},14
2016,WYMM,Wright Choice Bad Luck,5,Wright Choice,Bad Luck,{9A583314-E140-4472-85E4-2A9C20EA0B79},9
2016,FOLE,Coby doesn't Fleench,6,Coby doesn't,Fleench,{F7BD3F42-F712-4BA7-88D3-43F6DDE07BB8},5
2016,WCDY,A-Town Brown,7,A-Town,Brown,{09F60B7E-5E23-4818-A73C-F136044C9AB1},11
2016,Mari,Super Mario-ta,8,Super,Mario-ta,{E381C70C-86A4-4123-BE4E-DDA1FEB440B1},12
2016,GOFF,Caught a  Bad Goff,9,Caught a ,Bad Goff,{3A8D1CDB-1252-4016-892F-92089465AE62},4
2016,PHL,Philly  LANGuage ,10,Philly ,LANGuage ,{99E2FDF9-856B-4F6B-A2FD-F9856BFF6B09},1
2016,TODD,Gurly Girls,11,Gurly,Girls,{5F10C52B-D9D4-49D4-98F8-601BFAE4FA78},3
2016,GEH,Green Eggs And Beckham,12,Green Eggs,And Beckham,{B98BD509-19A0-48F0-9161-B1DB6F5D45D3},6
2016,CHOJ,Can you feel  the Brees,13,Can you feel ,the Brees,{05D89061-BAE3-4C19-BCB0-E7EC7E105866},2
2016,RoB,Saved by the Bell,14,Saved by,the Bell,{801FFF02-FE92-4A72-8652-1DB1F09963CC},7
2017,DULL,got a brock in my rari,1,got a brock,in my rari,{60AB0C80-50A7-417C-90B2-F35F7362B50F},10
2017,DRYS,Mackaroni and Brees,2,Mackaroni and,Brees,{4F16BDD1-42ED-4BEA-B15D-F6BE35E177F4},7
2017,NIKE,Carlos Better Than These?,3,Carlos Better,Than These?,{660BE104-98D0-4136-8BBA-7B33EE0ACEA2},5
2017,ROSE,The Book of Eli Manning,4,The Book of,Eli Manning,{6B529D97-DCD1-462F-9A17-510227F54E96},9
2017,TABS,These Are Better Santos,5,These Are,Better Santos,{9A583314-E140-4472-85E4-2A9C20EA0B79},11
2017,FOLE,Coby doesn't Fleench,6,Coby doesn't,Fleench,{F7BD3F42-F712-4BA7-88D3-43F6DDE07BB8},2
2017,WCDY,Fake Drews,7,Fake,Drews,{09F60B7E-5E23-4818-A73C-F136044C9AB1},6
2017,SNOW,Westeros  Game of Jones,8,Westeros ,Game of Jones,{E381C70C-86A4-4123-BE4E-DDA1FEB440B1},8
2017,MAGA,Make AmariCarr Great Again,9,Make AmariCarr,Great Again,{3A8D1CDB-1252-4016-892F-92089465AE62},4
2017,PHL,Philly  LANGuage ,10,Philly ,LANGuage ,{99E2FDF9-856B-4F6B-A2FD-F9856BFF6B09},3
2017,MN,Cookin With Cook,11,Cookin,With Cook,{5F10C52B-D9D4-49D4-98F8-601BFAE4FA78},12
2017,WIN,#InTrubisky WeTrust,12,#InTrubisky,WeTrust,{B98BD509-19A0-48F0-9161-B1DB6F5D45D3},13
2017,CHOJ,How Do You Say Ajiaijiyaiyajia,13,How Do You Say,Ajiaijiyaiyajia,{05D89061-BAE3-4C19-BCB0-E7EC7E105866},14
2017,RoB,DangeRuss Sea-Hawk,14,DangeRuss,Sea-Hawk,{801FFF02-FE92-4A72-8652-1DB1F09963CC},1
2018,DULL,sorry forgot my kerryon ,1,sorry forgot my,kerryon ,{60AB0C80-50A7-417C-90B2-F35F7362B50F},1
2018,DRYS, Just Reediculious,2, Just,Reediculious,{4F16BDD1-42ED-4BEA-B15D-F6BE35E177F4},4
2018,NIKE, MotherFicken Snakes On Plane,3, MotherFicken,Snakes On Plane,{660BE104-98D0-4136-8BBA-7B33EE0ACEA2},10
2018,ROSE,Kerryon My Wayward Son,4,Kerryon,My Wayward Son,{6B529D97-DCD1-462F-9A17-510227F54E96},5
2018,NAP,Going To Take A Sanuze,5,Going To Take,A Sanuze,{9A583314-E140-4472-85E4-2A9C20EA0B79},13
2018,TF,E-Z-E kiel,6,E-Z-E,kiel,{F7BD3F42-F712-4BA7-88D3-43F6DDE07BB8},6
2018,WCDY,Hey  Darnold!,7,Hey ,Darnold!,{09F60B7E-5E23-4818-A73C-F136044C9AB1},9
2018,C-LO,Gnarls Barkey,8,Gnarls,Barkey,{E381C70C-86A4-4123-BE4E-DDA1FEB440B1},2
2018,LUKE,Ramczyk-en and Brown Royce,9,Ramczyk-en and,Brown Royce,{3A8D1CDB-1252-4016-892F-92089465AE62},7
2018,PHL,Philly  LANGuage ,10,Philly ,LANGuage ,{99E2FDF9-856B-4F6B-A2FD-F9856BFF6B09},3
2018,ELE,Flaccos' Elite,11,Flaccos',Elite,{5F10C52B-D9D4-49D4-98F8-601BFAE4FA78},12
2018,OTH,ONE CHIEFS HILL,12,ONE,CHIEFS HILL,{B98BD509-19A0-48F0-9161-B1DB6F5D45D3},14
2018,CHOJ,Mr. Broken Ankles,13,Mr. Broken,Ankles,{05D89061-BAE3-4C19-BCB0-E7EC7E105866},11
2018,RoB,A No-Bell Attempt,14,A No-Bell,Attempt,{801FFF02-FE92-4A72-8652-1DB1F09963CC},8
2019,DULL,sorry forgot my kerryon ,1,sorry forgot my,kerryon ,{60AB0C80-50A7-417C-90B2-F35F7362B50F},12
2019,DRYS,Sexual  Thielen,2,Sexual ,Thielen,{4F16BDD1-42ED-4BEA-B15D-F6BE35E177F4},11
2019,NIKE,No Tengo Pineiro,3,No Tengo,Pineiro,{660BE104-98D0-4136-8BBA-7B33EE0ACEA2},3
2019,ROSE,Kerryon My Wayward Son,4,Kerryon,My Wayward Son,{6B529D97-DCD1-462F-9A17-510227F54E96},9
2019,BAHK,I'll Be Bahktiari,5,I'll Be,Bahktiari,{9A583314-E140-4472-85E4-2A9C20EA0B79},10
2019,TF,E-Z-E kiel,6,E-Z-E,kiel,{F7BD3F42-F712-4BA7-88D3-43F6DDE07BB8},14
2019,WCDY,"To the Window, To the Waller",7,"To the Window,",To the Waller,{09F60B7E-5E23-4818-A73C-F136044C9AB1},2
2019,C-LO,Gnarls Barkey,8,Gnarls,Barkey,{E381C70C-86A4-4123-BE4E-DDA1FEB440B1},13
2019,LUKE,Get Your Pass Rashan,9,Get Your Pass,Rashan,{3A8D1CDB-1252-4016-892F-92089465AE62},8
2019,PHL,Philly  LANGuage ,10,Philly ,LANGuage ,{99E2FDF9-856B-4F6B-A2FD-F9856BFF6B09},5
2019,FLAC,Flaccaroni and Cheese,11,Flaccaroni,and Cheese,{5F10C52B-D9D4-49D4-98F8-601BFAE4FA78},6
2019,OTH,ONE CHIEFS HILL,12,ONE,CHIEFS HILL,{B98BD509-19A0-48F0-9161-B1DB6F5D45D3},4
2019,CHOJ,Mr. Broken Ankles,13,Mr. Broken,Ankles,{05D89061-BAE3-4C19-BCB0-E7EC7E105866},1
2019,RoB,Hide and Zeke,14,Hide and,Zeke,{801FFF02-FE92-4A72-8652-1DB1F09963CC},7
2020,DULL,sorry forgot my kerryon ,1,sorry forgot my,kerryon ,{60AB0C80-50A7-417C-90B2-F35F7362B50F},3
2020,DRYS,Cornerstone  JV football,2,Cornerstone ,JV football,{4F16BDD1-42ED-4BEA-B15D-F6BE35E177F4},9
2020,NIKE,YoungHoes in Area Coates,3,YoungHoes in,Area Coates,{660BE104-98D0-4136-8BBA-7B33EE0ACEA2},5
2020,WILL,Fresh Prince of Helaire,4,Fresh Prince of,Helaire,{6B529D97-DCD1-462F-9A17-510227F54E96},4
2020,BUTT,Shaquem Booty,5,Shaquem,Booty,{9A583314-E140-4472-85E4-2A9C20EA0B79},1
2020,WCDY,The Fantasy Football Team,7,The Fantasy,Football Team,{09F60B7E-5E23-4818-A73C-F136044C9AB1},12
2020,C-LO,Gnarls Barkey,8,Gnarls,Barkey,{E381C70C-86A4-4123-BE4E-DDA1FEB440B1},6
2020,LUKE,A Lil Skill and a Lotta Lutz,9,A Lil Skill and,a Lotta Lutz,{3A8D1CDB-1252-4016-892F-92089465AE62},7
2020,PHL,OBJ's Timbs He Had On The Boat,10,OBJ's Timbs He,Had On The Boat,{99E2FDF9-856B-4F6B-A2FD-F9856BFF6B09},11
2020,LAST,Last Place On Lock?,12,Last Place,On Lock?,{B98BD509-19A0-48F0-9161-B1DB6F5D45D3},10
2020,CHOJ,Mr. Broken Ankles,13,Mr. Broken,Ankles,{05D89061-BAE3-4C19-BCB0-E7EC7E105866},2
2020,RoB,Christian Mingle,14,Christian,Mingle,{801FFF02-FE92-4A72-8652-1DB1F09963CC},8
