seasonId,TeamId,rankCalculatedFinal,transactionCounter.acquisitions,transactionCounter.trades,Championship
2016,1,13,30,2,0
2016,2,10,50,5,0
2016,3,12,18,0,0
2016,4,11,14,1,0
2016,5,9,6,1,0
2016,6,5,4,0,0
2016,7,7,24,2,0
2016,8,14,7,1,0
2016,9,2,15,2,0
2016,10,3,6,0,0
2016,11,4,28,3,0
2016,12,6,5,0,0
2016,13,1,9,2,1
2016,14,8,81,5,0
2017,1,13,24,1,0
2017,2,8,45,0,0
2017,3,5,35,3,0
2017,4,9,20,1,0
2017,5,11,13,0,0
2017,6,4,1,1,0
2017,7,6,23,2,0
2017,8,7,23,2,0
2017,9,3,11,0,0
2017,10,2,12,1,0
2017,11,12,34,0,0
2017,12,14,6,2,0
2017,13,10,3,2,0
2017,14,1,59,5,1
2018,1,2,27,3,0
2018,2,3,38,2,0
2018,3,10,27,2,0
2018,4,5,20,1,0
2018,5,13,8,0,0
2018,6,4,1,0,0
2018,7,8,24,0,0
2018,8,1,18,1,1
2018,9,9,18,2,0
2018,10,6,11,1,0
2018,11,12,11,2,0
2018,12,11,3,2,0
2018,13,14,5,3,0
2018,14,7,67,5,0
2019,1,11,24,1,0
2019,2,7,66,1,0
2019,3,3,22,0,0
2019,4,13,19,0,0
2019,5,8,5,0,0
2019,6,14,0,1,0
2019,7,1,53,1,1
2019,8,9,27,1,0
2019,9,12,13,0,0
2019,10,5,10,0,0
2019,11,6,17,1,0
2019,12,2,17,0,0
2019,13,4,15,0,0
2019,14,10,45,2,0
2020,1,2,23,2,0
2020,2,11,65,6,0
2020,3,1,29,1,1
2020,4,6,28,3,0
2020,5,3,16,0,0
2020,7,12,34,4,0
2020,8,5,34,1,0
2020,9,7,14,1,0
2020,10,10,24,1,0
2020,12,9,13,1,0
2020,13,4,6,0,0
2020,14,8,50,4,0
